2020.06.09 16:05:40 WARN  no build target for: F:\Module\Software Engineering\MS_Supermarkt\frontend\src\main\scala\test.scala
2020.06.09 16:05:46 WARN  no build target for: F:\Module\Software Engineering\MS_Supermarkt\frontend\src\main\scala\Main.scala
2020.06.09 16:20:17 WARN  no build tool detected in workspace 'F:\Module\Software Engineering\MS_Supermarkt'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.09 16:20:19 WARN  no build target for: F:\Module\Software Engineering\MS_Supermarkt\backend\app\controllers\HomeController.scala
2020.06.09 16:25:12 WARN  no build tool detected in workspace 'F:\Module\Software Engineering\MS_Supermarkt'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.09 16:25:51 WARN  no build tool detected in workspace 'F:\Module\Software Engineering\MS_Supermarkt'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.09 16:25:51 WARN  no build target for: F:\Module\Software Engineering\MS_Supermarkt\backend\app\controllers\HomeController.scala
2020.06.09 16:43:47 WARN  no build target for: F:\Module\Software Engineering\MS_Supermarkt\backend\app\controllers\HomeController.scala
2020.06.09 16:55:02 WARN  no build target for: F:\Module\Software Engineering\MS_Supermarkt\backend\app\controllers\HomeController.scala
2020.06.09 17:00:48 WARN  no build target for: F:\Module\Software Engineering\MS_Supermarkt\backend\app\controllers\HomeController.scala
2020.06.09 17:36:34 WARN  no build tool detected in workspace 'F:\Module\Software Engineering\MS_Supermarkt'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.09 17:36:37 WARN  no build target for: F:\Module\Software Engineering\MS_Supermarkt\backend\app\controllers\HomeController.scala
2020.06.09 17:41:00 WARN  no build tool detected in workspace 'F:\Module\Software Engineering\MS_Supermarkt'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.09 17:41:00 WARN  no build tool detected in workspace 'F:\Module\Software Engineering\MS_Supermarkt'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
